Wall time,Step,Value
1649876850.4308548,60000,-113.83981323242188
1649876920.212394,120000,-99.55905151367188
1649876989.4310539,180000,-110.12208557128906
1649877059.5718048,240000,-119.5065689086914
1649877127.2123919,300000,-71.2814712524414
1649877196.6690807,360000,-119.69990539550781
1649877262.9263031,420000,-35.998268127441406
1649877330.4305289,480000,-82.37303161621094
1649877399.1083272,540000,-87.35663604736328
1649877471.1225188,600000,-47.4305534362793
1649877555.3341873,660000,-115.78910064697266
1649877643.2093189,720000,-46.07138442993164
1649877731.6540616,780000,-137.23765563964844
1649877818.4244132,840000,-81.7086410522461
1649877902.0891402,900000,-124.89501190185547
1649877980.0843163,960000,-42.80864334106445
1649878055.5235593,1020000,-31.2515869140625
1649878142.5660307,1080000,-100.38152313232422
1649878246.404836,1140000,-94.6305160522461
1649878352.1112838,1200000,-25.139015197753906
1649878459.5389924,1260000,-97.69139099121094
1649878567.596764,1320000,-90.00896453857422
1649878674.3279788,1380000,-28.831153869628906
1649878782.156351,1440000,-81.20989227294922
1649878890.0125666,1500000,-64.97199249267578
1649878995.0781195,1560000,-29.148971557617188
1649879103.925468,1620000,-92.47755432128906
1649879212.550453,1680000,-99.19192504882812
1649879320.1423388,1740000,-53.5944938659668
1649879427.9355795,1800000,-30.364276885986328
1649879537.3977418,1860000,-89.19193267822266
1649879646.9689524,1920000,-152.02691650390625
1649879754.6888118,1980000,-62.026790618896484
1649879857.6016974,2040000,-22.96521759033203
1649879963.3527057,2100000,-59.3459358215332
1649880070.3608286,2160000,-42.39314270019531
1649880178.5319653,2220000,-83.84233856201172
1649880284.1236045,2280000,-45.96200942993164
1649880392.8695488,2340000,-74.19593811035156
1649880498.5174253,2400000,-19.98207664489746
1649880603.4309375,2460000,-18.82461166381836
1649880707.389611,2520000,-16.146081924438477
1649880811.5522034,2580000,-35.030582427978516
1649880917.6609905,2640000,-40.82512283325195
1649881024.6410306,2700000,-91.87448120117188
1649881130.4790175,2760000,-36.90214157104492
1649881234.4016905,2820000,-13.609583854675293
1649881341.0012865,2880000,-52.86923599243164
1649881447.8627424,2940000,-42.542030334472656
1649881555.970008,3000000,-41.8088264465332
1649881664.242857,3060000,-62.81028366088867
1649881772.7284753,3120000,-92.2958984375
1649881881.6718032,3180000,-99.72515869140625
1649881989.4295483,3240000,-73.41806030273438
1649882095.4113078,3300000,-26.303443908691406
1649882203.8227832,3360000,-91.006591796875
1649882314.5332603,3420000,-121.49017333984375
1649882425.1496928,3480000,-45.36980438232422
1649882536.4850872,3540000,-78.10440826416016
1649882645.208201,3600000,-57.62455368041992
1649882753.658048,3660000,-90.34526062011719
1649882861.114774,3720000,-33.91160202026367
1649882968.3792484,3780000,-49.181617736816406
1649883075.1406372,3840000,-37.85181427001953
1649883180.7271004,3900000,-52.724609375
1649883287.363858,3960000,-26.997272491455078
1649883396.4790037,4020000,-84.43389129638672
1649883504.1580107,4080000,-40.74403381347656
1649883610.857333,4140000,-16.862363815307617
1649883717.5194068,4200000,-24.492855072021484
1649883825.722832,4260000,-24.788654327392578
1649883932.9525082,4320000,-20.077856063842773
1649884042.4460104,4380000,-88.09815979003906
1649884149.909945,4440000,-33.1011848449707
1649884255.459667,4500000,-39.359771728515625
1649884365.8141499,4560000,-53.067649841308594
1649884474.6524193,4620000,-25.392364501953125
1649884582.4440947,4680000,-32.65708541870117
1649884690.2843227,4740000,-22.058828353881836
1649884800.8474724,4800000,-60.031375885009766
1649884908.5140877,4860000,-35.75292205810547
1649885016.1149724,4920000,-22.996257781982422
1649885125.0122848,4980000,-33.92561340332031
1649885232.2554045,5040000,-49.53736114501953
1649885342.248874,5100000,-69.16455078125
1649885450.9140108,5160000,-43.58887481689453
1649885560.909146,5220000,-35.721107482910156
1649885667.5857918,5280000,-26.568819046020508
1649885776.369251,5340000,-61.40083694458008
1649885885.4322407,5400000,-118.184326171875
1649885996.1117718,5460000,-29.698623657226562
1649886106.5387175,5520000,-81.1930160522461
1649886218.0768652,5580000,-52.539459228515625
1649886329.9282455,5640000,-69.9210205078125
1649886445.5637238,5700000,-49.812110900878906
1649886559.4288387,5760000,-70.65460968017578
1649886672.516323,5820000,-14.890891075134277
1649886784.0160015,5880000,-26.06873893737793
1649886898.3842473,5940000,-69.79750061035156
1649887011.1356702,6000000,-36.10138702392578
1649887126.5533206,6060000,-108.40320587158203
1649887241.5460956,6120000,-79.17964935302734
1649887356.3324862,6180000,-68.95264434814453
1649887470.2601838,6240000,-52.48581314086914
1649887582.1217444,6300000,-76.78524780273438
1649887693.1701527,6360000,-100.34137725830078
1649887802.6274068,6420000,-36.17320251464844
1649887913.555854,6480000,-25.43944549560547
1649888023.2740555,6540000,-53.060298919677734
1649888134.647739,6600000,-31.224292755126953
1649888247.812781,6660000,-37.7081298828125
1649888359.7446308,6720000,-28.701129913330078
1649888473.5273242,6780000,-39.33002853393555
1649888586.1447785,6840000,-22.593891143798828
1649888698.1689603,6900000,-29.000343322753906
1649888810.5185049,6960000,-54.53390884399414
1649888921.5855186,7020000,-36.435203552246094
1649889034.047718,7080000,-77.86912536621094
1649889146.5219622,7140000,-40.808841705322266
1649889259.1357408,7200000,-53.449764251708984
1649889376.0338745,7260000,-100.9227066040039
1649889490.6233277,7320000,-25.87981605529785
1649889605.5418282,7380000,-86.05916595458984
1649889718.1013596,7440000,-18.2082576751709
1649889833.8616502,7500000,-46.5909538269043
1649889946.042355,7560000,-23.844514846801758
1649890060.035925,7620000,-18.8553466796875
1649890174.893772,7680000,-27.966716766357422
1649890291.3378015,7740000,-71.57334899902344
1649890404.5937405,7800000,-38.00222396850586
1649890516.8311756,7860000,-16.685638427734375
1649890630.568514,7920000,-19.953760147094727
1649890745.479462,7980000,-51.5117301940918
1649890859.3243134,8040000,-29.933151245117188
1649890971.8687928,8100000,-21.76644515991211
1649891086.3433814,8160000,-24.270418167114258
1649891200.4778862,8220000,-37.99962615966797
1649891314.0473876,8280000,-42.97676467895508
1649891427.3355932,8340000,-23.658418655395508
1649891538.5428293,8400000,-18.61454200744629
1649891652.998104,8460000,-57.827064514160156
1649891768.3237891,8520000,-88.82438659667969
1649891880.1299758,8580000,-20.511119842529297
1649891997.8233225,8640000,-49.23843765258789
1649892109.922612,8700000,-15.18530559539795
1649892226.3578172,8760000,-37.55601501464844
1649892342.8948116,8820000,-31.679542541503906
1649892456.9382615,8880000,-16.148460388183594
1649892575.8138077,8940000,-91.72193145751953
1649892694.5143669,9000000,-35.411312103271484
1649892812.6169512,9060000,-32.721343994140625
1649892931.80247,9120000,-61.56203079223633
1649893050.9484265,9180000,-23.258159637451172
1649893171.1733856,9240000,-23.002595901489258
1649893290.3088307,9300000,-39.998069763183594
1649893408.5664105,9360000,-87.61888122558594
1649893529.414878,9420000,-51.1692008972168
1649893647.6025958,9480000,-28.95760726928711
