Wall time,Step,Value
1649876605.5336707,60000,-161.22296142578125
1649876674.6990507,120000,-95.72923278808594
1649876744.6368554,180000,-145.37216186523438
1649876814.8709192,240000,-122.01891326904297
1649876884.409833,300000,-129.21578979492188
1649876953.652515,360000,-141.26686096191406
1649877023.6454384,420000,-127.11420440673828
1649877093.5605114,480000,-131.3331298828125
1649877160.611434,540000,-43.492462158203125
1649877229.9219317,600000,-132.03782653808594
1649877298.6601095,660000,-163.5088348388672
1649877366.2923818,720000,-124.75846099853516
1649877438.0860345,780000,-165.37457275390625
1649877514.7479331,840000,-113.49911499023438
1649877606.5639646,900000,-166.37632751464844
1649877694.2280633,960000,-90.72708129882812
1649877781.0171142,1020000,-58.165611267089844
1649877865.792633,1080000,-82.969482421875
1649877946.7884974,1140000,-60.70344924926758
1649878021.983666,1200000,-29.953073501586914
1649878100.4381359,1260000,-30.80868911743164
1649878192.3684833,1320000,-58.54122543334961
1649878303.4516432,1380000,-143.99131774902344
1649878413.5762498,1440000,-135.6962432861328
1649878521.4044425,1500000,-97.58637237548828
1649878626.6958292,1560000,-57.735328674316406
1649878728.4750996,1620000,-32.1517219543457
1649878832.922979,1680000,-85.05389404296875
1649878938.0987964,1740000,-81.36673736572266
1649879044.3818276,1800000,-109.14250946044922
1649879152.9337974,1860000,-106.78455352783203
1649879261.2180812,1920000,-111.91859436035156
1649879371.8437195,1980000,-162.7932891845703
1649879478.3569677,2040000,-84.81483459472656
1649879584.4845736,2100000,-100.1493911743164
1649879691.845721,2160000,-74.73823547363281
1649879798.2367806,2220000,-116.50009155273438
1649879904.0236914,2280000,-57.44970703125
1649880007.310051,2340000,-24.578189849853516
1649880112.524869,2400000,-77.2867660522461
1649880216.8311617,2460000,-69.33816528320312
1649880322.637022,2520000,-102.67694854736328
1649880432.149553,2580000,-149.90176391601562
1649880535.0817583,2640000,-75.44801330566406
1649880641.148302,2700000,-71.47462463378906
1649880745.2712698,2760000,-39.80390167236328
1649880850.4467137,2820000,-72.07466125488281
1649880959.2832832,2880000,-133.1905059814453
1649881066.2123222,2940000,-80.51876831054688
1649881174.0822506,3000000,-74.94509887695312
1649881281.5519922,3060000,-52.03373336791992
1649881387.1427402,3120000,-60.655086517333984
1649881494.9571044,3180000,-65.05731964111328
1649881601.9384637,3240000,-87.95260620117188
1649881713.5064917,3300000,-80.19570922851562
1649881819.959976,3360000,-27.495975494384766
1649881928.4127676,3420000,-51.141387939453125
1649882036.4490383,3480000,-50.7099494934082
1649882142.8937643,3540000,-38.242401123046875
1649882253.734904,3600000,-123.4677963256836
1649882362.0841033,3660000,-46.40194320678711
1649882471.4023137,3720000,-47.90636444091797
1649882581.0530694,3780000,-54.34814453125
1649882687.2754486,3840000,-46.889015197753906
1649882795.8742342,3900000,-80.63655853271484
1649882902.5298254,3960000,-54.2618522644043
1649883011.6423893,4020000,-87.85858154296875
1649883118.5867236,4080000,-72.34315490722656
1649883224.2923925,4140000,-59.406925201416016
1649883331.3149667,4200000,-43.51191329956055
1649883438.2754817,4260000,-87.1966552734375
1649883546.317486,4320000,-71.0096206665039
1649883652.766479,4380000,-61.41706085205078
1649883762.4917233,4440000,-86.1589584350586
1649883871.1256468,4500000,-118.29248046875
1649883976.6843333,4560000,-52.85818099975586
1649884083.3909378,4620000,-45.707557678222656
1649884190.567944,4680000,-71.81021118164062
1649884297.5813286,4740000,-47.20099639892578
1649884402.9811444,4800000,-71.81214141845703
1649884512.0640032,4860000,-144.32949829101562
1649884617.7108245,4920000,-75.25604248046875
1649884723.6450684,4980000,-29.784177780151367
1649884831.5924568,5040000,-61.61336898803711
1649884937.8913283,5100000,-49.24509811401367
1649885044.6238525,5160000,-45.391685485839844
1649885152.2174432,5220000,-41.00980758666992
1649885261.8083518,5280000,-93.68457794189453
1649885371.0995662,5340000,-74.79515838623047
1649885481.131298,5400000,-117.64575958251953
1649885590.820877,5460000,-67.7663345336914
1649885699.0659676,5520000,-111.46683502197266
1649885806.7343326,5580000,-76.86114501953125
