Wall time,Step,Value
1649604423.6321344,60000,-88.71409606933594
1649604486.7355678,120000,-193.78549194335938
1649604552.6795828,180000,-113.43264770507812
1649604632.176619,240000,-265.30145263671875
1649604720.973419,300000,-194.85830688476562
1649604822.8768377,360000,-229.91114807128906
1649604919.9658446,420000,-138.71929931640625
1649605019.7454984,480000,-212.35720825195312
1649605117.018047,540000,-161.65792846679688
1649605215.6909652,600000,-169.42535400390625
1649605309.0666325,660000,-50.17766189575195
1649605409.8570948,720000,-169.2008056640625
1649605509.0934167,780000,-135.10617065429688
1649605605.8888342,840000,-101.90222930908203
1649605708.4078133,900000,-199.67405700683594
1649605807.212819,960000,-109.07972717285156
1649605906.6950824,1020000,-109.69834899902344
1649606006.477944,1080000,-110.86570739746094
1649606105.6506736,1140000,-139.8664093017578
1649606206.5608819,1200000,-166.98133850097656
1649606302.5716054,1260000,-48.84470748901367
1649606401.9951873,1320000,-142.4214324951172
1649606502.4397547,1380000,-130.28329467773438
1649606603.270952,1440000,-80.83357238769531
1649606703.0435297,1500000,-75.28480529785156
1649606800.3199074,1560000,-74.69208526611328
1649606902.3951344,1620000,-181.39358520507812
1649607002.218993,1680000,-113.57085418701172
1649607104.3325377,1740000,-81.56466674804688
1649607205.9270844,1800000,-94.23313903808594
1649607299.1312177,1860000,-167.2900390625
1649607391.1847875,1920000,-135.84498596191406
1649607485.0631824,1980000,-146.22364807128906
1649607577.6112595,2040000,-100.21408081054688
1649607669.90488,2100000,-117.02487182617188
1649607761.039719,2160000,-94.39932250976562
1649607851.3537877,2220000,-122.68539428710938
1649607941.4639661,2280000,-80.96611022949219
1649608034.4036496,2340000,-163.8319854736328
1649608124.5900576,2400000,-81.97956085205078
1649608214.1847513,2460000,-92.83224487304688
1649608307.944993,2520000,-201.06658935546875
1649608397.6041498,2580000,-96.28036499023438
1649608489.1840496,2640000,-137.6622314453125
1649608581.3306603,2700000,-118.60233306884766
1649608672.1685376,2760000,-129.6713104248047
1649608763.2298517,2820000,-143.3596649169922
1649608853.7300625,2880000,-108.26588439941406
1649608945.2660308,2940000,-160.6222686767578
1649609031.2823925,3000000,-56.32398223876953
1649609119.7115462,3060000,-46.372737884521484
1649609207.8068993,3120000,-50.13394546508789
1649609298.128433,3180000,-62.844749450683594
