Wall time,Step,Value
1650024819.8838954,60000,-80.010986328125
1650025030.7401056,120000,-91.58820343017578
1650025230.5712771,180000,-73.37957000732422
1650025431.665906,240000,-60.198917388916016
1650025649.4319303,300000,-86.00701141357422
1650025870.7480297,360000,-101.3710708618164
1650026086.1160467,420000,-56.700347900390625
1650026306.2333682,480000,-75.32386779785156
1650026523.0810547,540000,-38.339168548583984
1650026743.0857866,600000,-91.65865325927734
1650026964.328848,660000,-37.01475143432617
1650027183.7165055,720000,-44.73967361450195
1650027401.2577415,780000,-49.953041076660156
1650027625.9462245,840000,-67.58651733398438
1650027840.1302524,900000,-79.0383071899414
1650028053.2675576,960000,-18.0743465423584
1650028267.4999588,1020000,-21.666019439697266
1650028487.8868332,1080000,-51.32603454589844
1650028705.3434353,1140000,-75.33193969726562
1650028922.9038146,1200000,-62.195640563964844
1650029137.666319,1260000,-64.71472930908203
1650029353.12886,1320000,-77.73771667480469
1650029579.4625115,1380000,-33.68825149536133
1650029801.944712,1440000,-57.665931701660156
1650030022.9782574,1500000,-89.55998229980469
1650030240.925507,1560000,-55.5340576171875
1650030457.1415157,1620000,-63.412437438964844
1650030678.8816137,1680000,-66.28022003173828
1650030897.4999373,1740000,-32.53096008300781
1650031118.013534,1800000,-26.079927444458008
1650031335.404892,1860000,-18.83563804626465
1650031561.6548786,1920000,-68.31243133544922
1650031783.324733,1980000,-29.896745681762695
1650031999.5524857,2040000,-22.313434600830078
1650032213.63138,2100000,-60.440391540527344
1650032427.67456,2160000,-51.46903991699219
1650032638.2986414,2220000,-17.988401412963867
1650032852.010053,2280000,-26.655921936035156
1650033069.9294543,2340000,-20.104379653930664
1650033291.3172922,2400000,-60.2403678894043
1650033509.1195312,2460000,-23.00034523010254
1650033736.6418626,2520000,-101.82781219482422
1650033956.0320797,2580000,-20.009977340698242
1650034175.8924308,2640000,-25.379819869995117
1650034396.4718764,2700000,-60.82688903808594
1650034629.1850996,2760000,-21.89476203918457
1650034851.2449136,2820000,-28.881181716918945
1650035088.1128247,2880000,-23.752798080444336
1650035348.2846692,2940000,-70.79816436767578
1650035605.2003798,3000000,-38.30857849121094
1650035861.764581,3060000,-46.693058013916016
1650036118.2014673,3120000,-59.925498962402344
1650036372.6019406,3180000,-15.572799682617188
1650036634.1499364,3240000,-81.85297393798828
1650036891.7222142,3300000,-34.237709045410156
1650037149.260538,3360000,-40.54387664794922
1650037403.7332544,3420000,-36.24477767944336
1650037646.113402,3480000,-14.783860206604004
1650037875.838439,3540000,-17.310333251953125
1650038101.7529483,3600000,-49.23893737792969
1650038328.894819,3660000,-15.814943313598633
1650038555.8384185,3720000,-18.537540435791016
1650038789.5607715,3780000,-27.034038543701172
1650039015.459132,3840000,-25.538393020629883
1650039237.4595482,3900000,-16.846416473388672
1650039462.8849683,3960000,-24.0753116607666
1650039682.0181727,4020000,-19.342905044555664
1650039901.5688615,4080000,-28.125520706176758
1650040123.125137,4140000,-21.725385665893555
1650040351.2681527,4200000,-25.923925399780273
1650040576.288296,4260000,-29.39690589904785
1650040796.3853588,4320000,-33.354923248291016
1650041014.3134627,4380000,-20.8492488861084
1650041243.0430162,4440000,-36.976287841796875
1650041475.6444201,4500000,-46.81310272216797
1650041707.4021647,4560000,-94.6282958984375
1650041928.433032,4620000,-19.22965431213379
1650042159.0940506,4680000,-17.161584854125977
1650042383.6518054,4740000,-19.402963638305664
1650042611.6309695,4800000,-62.24123001098633
1650042833.8713994,4860000,-11.7786283493042
1650043064.0460906,4920000,-37.29229736328125
1650043294.4327881,4980000,-19.765771865844727
1650043529.2750595,5040000,-53.52691650390625
1650043761.0958347,5100000,-19.258512496948242
1650043989.4203992,5160000,-29.3743953704834
1650044222.307452,5220000,-22.6164493560791
1650044449.667789,5280000,-49.056312561035156
1650044678.3180504,5340000,-31.042314529418945
1650044900.6934617,5400000,-17.670862197875977
1650045127.892231,5460000,-35.6219367980957
1650045360.676702,5520000,-32.32920455932617
1650045583.6073961,5580000,-57.86703109741211
1650045815.1308787,5640000,-20.912508010864258
1650046049.1030943,5700000,-19.003955841064453
1650046278.7193592,5760000,-20.594928741455078
1650046521.098992,5820000,-34.53871536254883
1650046751.6707418,5880000,-45.44890594482422
1650046989.6202066,5940000,-29.193666458129883
1650047225.236173,6000000,-38.88465118408203
1650047463.7215195,6060000,-51.61049270629883
1650047701.7829535,6120000,-47.96044158935547
1650047932.8369036,6180000,-20.157447814941406
1650048173.5166373,6240000,-17.675992965698242
1650048412.155277,6300000,-27.441650390625
1650048646.4765508,6360000,-34.36753463745117
1650048881.1949434,6420000,-16.479103088378906
1650049118.3456612,6480000,-33.08995819091797
1650049350.940403,6540000,-41.08544921875
1650049589.7930145,6600000,-24.06315040588379
1650049824.0619698,6660000,-49.72513198852539
1650050056.3706887,6720000,-21.056625366210938
1650050292.4075458,6780000,-72.30188751220703
1650050523.2993302,6840000,-34.841705322265625
1650050756.9814234,6900000,-35.32112503051758
1650050988.308819,6960000,-56.970794677734375
1650051221.8034165,7020000,-27.639604568481445
1650051455.7994046,7080000,-27.72512435913086
1650051696.113502,7140000,-30.106658935546875
1650051931.1921108,7200000,-35.33271026611328
1650052161.7759085,7260000,-17.99437713623047
1650052396.0934746,7320000,-23.96695899963379
1650052625.9802008,7380000,-36.36747360229492
1650052851.7148,7440000,-19.50580596923828
1650053090.096461,7500000,-16.79860496520996
1650053319.7965956,7560000,-16.891857147216797
1650053548.8792455,7620000,-32.72637939453125
1650053787.4485037,7680000,-16.565746307373047
1650054024.020022,7740000,-16.167722702026367
1650054255.7928805,7800000,-36.252559661865234
1650054484.494286,7860000,-21.783119201660156
1650054714.8694293,7920000,-46.56708908081055
1650054945.3178494,7980000,-15.345322608947754
1650055175.3856945,8040000,-17.881488800048828
1650055402.428202,8100000,-23.548185348510742
1650055632.581234,8160000,-29.337228775024414
1650055868.7874537,8220000,-30.048778533935547
1650056101.1823545,8280000,-28.483936309814453
1650056333.3629625,8340000,-50.90991973876953
1650056568.759471,8400000,-18.28862953186035
1650056799.5028987,8460000,-18.77298355102539
1650057026.4922059,8520000,-28.910266876220703
1650057252.347694,8580000,-14.59719181060791
1650057483.8117929,8640000,-27.76936912536621
1650057712.4954104,8700000,-70.61431121826172
1650057942.400007,8760000,-28.397132873535156
1650058175.2866726,8820000,-19.753265380859375
1650058409.8856695,8880000,-34.45897674560547
1650058639.4444587,8940000,-21.31288719177246
1650058872.404751,9000000,-27.45427894592285
1650059101.0782132,9060000,-14.920045852661133
1650059331.4246244,9120000,-76.83032989501953
1650059548.6990066,9180000,-40.39273452758789
1650059773.0814946,9240000,-53.813385009765625
1650059993.4032311,9300000,-26.796918869018555
1650060217.8770487,9360000,-13.627787590026855
1650060432.2609336,9420000,-37.1075553894043
1650060658.7260187,9480000,-49.19419479370117
1650060883.2417336,9540000,-50.871768951416016
1650061110.4264512,9600000,-19.9494571685791
1650061341.0591664,9660000,-14.668638229370117
1650061568.0103416,9720000,-82.7934799194336
1650061789.9276154,9780000,-38.835269927978516
1650062006.9122243,9840000,-14.806394577026367
1650062225.5723946,9900000,-30.203603744506836
1650062446.0010788,9960000,-28.506479263305664
1650062671.9114115,10020000,-25.948833465576172
1650062900.2490714,10080000,-30.92179298400879
1650063120.562251,10140000,-19.56179428100586
1650063344.952842,10200000,-14.862290382385254
1650063577.3416688,10260000,-26.248931884765625
1650063798.9311624,10320000,-21.592973709106445
1650064017.6408374,10380000,-33.0089225769043
1650064246.5719192,10440000,-52.20871353149414
1650064471.7365632,10500000,-17.269668579101562
1650064685.9662876,10560000,-30.4529972076416
1650064909.4434264,10620000,-29.96417808532715
1650065130.4056127,10680000,-20.448904037475586
1650065357.8830297,10740000,-21.349422454833984
1650065584.2351563,10800000,-30.056787490844727
1650065803.122022,10860000,-58.90581130981445
1650066034.5225043,10920000,-29.196685791015625
1650066250.6564605,10980000,-20.14577865600586
1650066478.2045455,11040000,-22.299718856811523
1650066696.9833355,11100000,-26.635438919067383
1650066927.6777189,11160000,-13.008515357971191
1650067155.2851079,11220000,-26.89289665222168
1650067383.9075093,11280000,-77.3755874633789
1650067613.80027,11340000,-55.35572052001953
1650067835.4482,11400000,-20.57682991027832
1650068066.583689,11460000,-29.20570182800293
1650068293.5663502,11520000,-19.298503875732422
1650068515.2309437,11580000,-25.118085861206055
1650068749.1216514,11640000,-28.558732986450195
1650068975.1672723,11700000,-22.63090705871582
1650069200.7719939,11760000,-15.84853458404541
1650069429.1250486,11820000,-21.911846160888672
1650069658.7170978,11880000,-51.16415023803711
1650069881.057999,11940000,-14.697693824768066
1650070106.546965,12000000,-29.784332275390625
1650070328.4281306,12060000,-16.926658630371094
1650070556.0192885,12120000,-45.718894958496094
1650070782.3057783,12180000,-44.131492614746094
1650071012.4680505,12240000,-51.07710647583008
1650071246.924515,12300000,-17.521738052368164
1650071475.3802037,12360000,-23.900304794311523
1650071705.7802656,12420000,-19.979568481445312
1650071922.149625,12480000,-37.511348724365234
1650072147.5874,12540000,-47.860618591308594
1650072367.724546,12600000,-27.413423538208008
1650072588.017182,12660000,-24.21918296813965
1650072811.692654,12720000,-35.64574432373047
1650073039.3744912,12780000,-50.288394927978516
1650073266.329015,12840000,-17.61534309387207
1650073495.7795913,12900000,-12.738154411315918
1650073725.0151556,12960000,-17.108936309814453
1650073954.5990715,13020000,-24.1441650390625
1650074177.509038,13080000,-13.936919212341309
1650074407.5404813,13140000,-33.24641036987305
1650074630.965193,13200000,-18.5725040435791
1650074863.804275,13260000,-67.40675354003906
1650075084.8005452,13320000,-21.838266372680664
1650075312.109079,13380000,-26.901477813720703
1650075538.8694575,13440000,-39.2253532409668
1650075767.9697535,13500000,-43.70108413696289
1650075992.0398765,13560000,-58.9829216003418
1650076214.7188766,13620000,-16.18770408630371
1650076437.839065,13680000,-31.309730529785156
1650076671.3454955,13740000,-27.92250633239746
1650076900.8524125,13800000,-54.99782943725586
1650077125.3989775,13860000,-75.40894317626953
1650077349.4237158,13920000,-22.3906307220459
1650077572.233495,13980000,-23.153076171875
1650077799.77416,14040000,-27.730588912963867
1650078031.903354,14100000,-23.75758171081543
1650078256.5291617,14160000,-17.718839645385742
1650078487.181246,14220000,-43.72346878051758
1650078723.4649637,14280000,-15.601217269897461
1650078948.1879904,14340000,-17.34404754638672
1650079185.5796003,14400000,-26.27410125732422
1650079422.78332,14460000,-49.25962829589844
1650079653.9162934,14520000,-15.714900970458984
1650079889.6115894,14580000,-28.722047805786133
1650080126.2941072,14640000,-19.808244705200195
1650080356.6944191,14700000,-35.370731353759766
1650080589.3569455,14760000,-26.264617919921875
1650080822.3850315,14820000,-57.38956069946289
1650081050.3607495,14880000,-62.96851348876953
1650081280.2050078,14940000,-19.97921371459961
1650081507.1661687,15000000,-47.45249938964844
1650081734.0258446,15060000,-18.655447006225586
1650081954.7370641,15120000,-29.701215744018555
1650082182.0640833,15180000,-19.1550350189209
1650082416.8273473,15240000,-55.55655288696289
1650082647.3075387,15300000,-34.81644058227539
1650082875.1232498,15360000,-32.767948150634766
1650083103.8915963,15420000,-20.495643615722656
1650083335.5808625,15480000,-54.36542892456055
1650083566.0289066,15540000,-16.49481773376465
1650083786.5102746,15600000,-51.162391662597656
1650084007.0043054,15660000,-21.457700729370117
1650084237.948728,15720000,-42.04444122314453
1650084459.5843868,15780000,-38.503170013427734
1650084688.8024883,15840000,-17.52447509765625
1650084915.91016,15900000,-20.395862579345703
1650085143.4209778,15960000,-21.862041473388672
1650085368.2016172,16020000,-26.16972541809082
1650085590.8060596,16080000,-24.950103759765625
1650085806.0285811,16140000,-24.50550651550293
1650086028.776904,16200000,-21.672443389892578
1650086255.9960117,16260000,-20.2558650970459
1650086475.7253218,16320000,-31.45254135131836
1650086702.7555916,16380000,-14.62771224975586
1650086938.669136,16440000,-49.80723190307617
1650087162.5625193,16500000,-28.605695724487305
1650087386.5573046,16560000,-13.779251098632812
1650087611.6918764,16620000,-14.119011878967285
1650087834.1334157,16680000,-14.1201810836792
1650088060.7034853,16740000,-15.673543930053711
1650088291.6141946,16800000,-18.30832862854004
1650088518.4976895,16860000,-24.484909057617188
1650088749.8178606,16920000,-51.595699310302734
1650088968.7225614,16980000,-17.188749313354492
1650089196.7924337,17040000,-29.860225677490234
1650089417.0905714,17100000,-13.580485343933105
1650089646.0775273,17160000,-24.603878021240234
1650089871.6666286,17220000,-20.958669662475586
1650090096.6883874,17280000,-21.204633712768555
1650090320.219048,17340000,-17.556293487548828
1650090544.3148859,17400000,-30.68855094909668
1650090767.9125006,17460000,-44.980716705322266
1650090996.2039554,17520000,-41.68663024902344
1650091209.578088,17580000,-38.0876350402832
1650091441.0696568,17640000,-49.19196701049805
1650091666.5271049,17700000,-57.24625778198242
1650091893.6466343,17760000,-34.70109939575195
1650092115.8823442,17820000,-14.804314613342285
1650092341.5848942,17880000,-22.574560165405273
1650092567.7126215,17940000,-33.781341552734375
1650092800.8718946,18000000,-28.86997413635254
1650093014.8299975,18060000,-26.666141510009766
1650093249.3958411,18120000,-23.562030792236328
1650093478.4214249,18180000,-12.14811897277832
1650093699.839745,18240000,-21.321210861206055
1650093925.4756162,18300000,-31.564842224121094
1650094155.169009,18360000,-14.909652709960938
1650094374.541516,18420000,-29.857994079589844
1650094606.27557,18480000,-18.717750549316406
1650094832.568063,18540000,-62.447975158691406
1650095057.8761933,18600000,-21.411436080932617
1650095290.3599112,18660000,-20.02085304260254
1650095517.0146224,18720000,-64.35558319091797
1650095742.9382749,18780000,-33.26960372924805
1650095965.1313128,18840000,-22.876811981201172
1650096188.5290546,18900000,-26.373096466064453
1650096412.4074326,18960000,-54.28361892700195
1650096640.4384117,19020000,-79.75301361083984
1650096867.004372,19080000,-53.12650680541992
1650097090.5201702,19140000,-23.081478118896484
1650097309.4056547,19200000,-91.69906616210938
1650097530.2133331,19260000,-24.543195724487305
1650097761.0024223,19320000,-23.826839447021484
1650097987.6026108,19380000,-19.974952697753906
1650098219.0262392,19440000,-14.389759063720703
1650098434.221309,19500000,-15.983696937561035
1650098662.5913572,19560000,-22.655221939086914
1650098889.736081,19620000,-32.49160385131836
1650099117.8918655,19680000,-29.481361389160156
1650099341.3462863,19740000,-22.224647521972656
1650099570.641932,19800000,-23.987451553344727
1650099803.502061,19860000,-12.585269927978516
1650100031.721356,19920000,-49.77367401123047
1650100254.871752,19980000,-27.016082763671875
1650100486.5149362,20040000,-19.054357528686523
1650100718.5183082,20100000,-25.172195434570312
1650100945.674806,20160000,-49.64453887939453
1650101172.683967,20220000,-22.179933547973633
1650101403.1083083,20280000,-30.384206771850586
1650101624.692259,20340000,-31.79710578918457
1650101849.5857882,20400000,-33.836181640625
1650102081.6728451,20460000,-44.29381561279297
1650102303.2716372,20520000,-24.130388259887695
1650102528.8627038,20580000,-23.97039222717285
1650102759.8457131,20640000,-72.33228302001953
1650102984.440548,20700000,-33.415348052978516
1650103211.0581167,20760000,-25.68853759765625
1650103436.0734777,20820000,-19.470415115356445
1650103660.0534575,20880000,-37.80766677856445
1650103885.33511,20940000,-29.9139347076416
1650104101.354466,21000000,-54.913021087646484
1650104323.8152766,21060000,-55.67344284057617
1650104551.3435397,21120000,-17.284069061279297
1650104775.5179858,21180000,-38.43586349487305
1650104993.9758701,21240000,-34.2700309753418
1650105209.7905707,21300000,-17.97731590270996
1650105433.9128473,21360000,-17.055152893066406
1650105656.4408367,21420000,-20.775779724121094
1650105882.7511919,21480000,-20.773326873779297
1650106105.1234818,21540000,-30.325586318969727
1650106334.903441,21600000,-24.293621063232422
1650106556.2571857,21660000,-33.58950424194336
1650106775.8455322,21720000,-15.762535095214844
1650107003.6167793,21780000,-37.81756591796875
1650107223.432061,21840000,-30.59126091003418
1650107454.4592614,21900000,-23.588497161865234
1650107682.76907,21960000,-62.486385345458984
1650107907.0614262,22020000,-81.2691421508789
1650108127.0218527,22080000,-25.70709228515625
1650108347.0936089,22140000,-21.670360565185547
1650108569.6673434,22200000,-33.44868469238281
1650108790.9597285,22260000,-42.2747802734375
1650109000.4277694,22320000,-33.38924026489258
1650109222.9851065,22380000,-39.79008102416992
1650109444.3339849,22440000,-65.47896575927734
1650109669.5806763,22500000,-119.0638427734375
1650109879.7674737,22560000,-36.616947174072266
1650110091.8680086,22620000,-17.125333786010742
1650110305.8584847,22680000,-19.146474838256836
1650110534.7780514,22740000,-23.59825897216797
1650110756.0264466,22800000,-35.632633209228516
1650110979.1891737,22860000,-37.76839828491211
1650111195.2136364,22920000,-29.806184768676758
1650111422.3866763,22980000,-47.131465911865234
1650111643.3984292,23040000,-34.29618453979492
1650111873.7140093,23100000,-44.23875045776367
1650112089.3242488,23160000,-22.883068084716797
1650112307.0632002,23220000,-63.1494140625
1650112515.8391979,23280000,-19.567691802978516
1650112737.8577936,23340000,-40.013763427734375
1650112961.5086296,23400000,-26.57537269592285
1650113180.0514848,23460000,-24.833805084228516
1650113399.7721095,23520000,-42.99784851074219
1650113627.6024015,23580000,-39.010414123535156
1650113845.573538,23640000,-12.433317184448242
1650114063.9195669,23700000,-48.26103210449219
1650114291.113568,23760000,-47.81780242919922
1650114512.1444004,23820000,-27.28067970275879
1650114733.9840477,23880000,-11.576652526855469
1650114956.88018,23940000,-47.23628234863281
1650115176.186722,24000000,-22.110496520996094
1650115396.5642202,24060000,-39.263694763183594
1650115615.8776765,24120000,-26.2379150390625
1650115832.6814551,24180000,-21.1235294342041
1650116057.3535335,24240000,-23.282360076904297
1650116281.850426,24300000,-54.15693283081055
1650116504.070142,24360000,-67.45849609375
1650116721.7523391,24420000,-24.33646011352539
1650116938.5330462,24480000,-74.93293762207031
1650117159.9401426,24540000,-28.052522659301758
1650117381.7361631,24600000,-51.79283142089844
1650117596.0758324,24660000,-25.63700294494629
1650117817.1216495,24720000,-52.549076080322266
1650118044.6678808,24780000,-73.7634506225586
1650118255.4059646,24840000,-17.771780014038086
1650118475.3834949,24900000,-34.8538818359375
1650118700.4172094,24960000,-24.23615264892578
1650118926.0319512,25020000,-23.169925689697266
1650119145.8648214,25080000,-79.84541320800781
1650119364.9018857,25140000,-35.77873611450195
1650119579.4931967,25200000,-36.6375846862793
1650119802.9912724,25260000,-34.892635345458984
1650120019.9173386,25320000,-17.027233123779297
1650120237.6403005,25380000,-68.52779388427734
1650120456.1028247,25440000,-28.293779373168945
1650120676.7424138,25500000,-28.845449447631836
1650120903.1594756,25560000,-19.83451271057129
1650121127.7864068,25620000,-54.969383239746094
1650121348.8194993,25680000,-35.54021072387695
1650121570.1905596,25740000,-60.274200439453125
1650121785.2628295,25800000,-43.217689514160156
1650122009.263261,25860000,-21.81525993347168
1650122224.4574008,25920000,-32.062049865722656
1650122443.978142,25980000,-45.24106979370117
1650122663.75133,26040000,-35.71343231201172
1650122882.1225746,26100000,-26.412996292114258
1650123101.213474,26160000,-29.134092330932617
1650123322.2356997,26220000,-19.817977905273438
1650123550.2777705,26280000,-107.36538696289062
1650123772.5716941,26340000,-82.47179412841797
1650123994.8241088,26400000,-55.27294158935547
1650124219.759077,26460000,-36.80405807495117
1650124440.9824278,26520000,-50.68553161621094
1650124655.4592671,26580000,-40.83705520629883
1650124879.898839,26640000,-35.409210205078125
1650125094.4305623,26700000,-27.765275955200195
1650125312.6793091,26760000,-45.55348205566406
1650125537.1233191,26820000,-41.57623291015625
1650125760.8783722,26880000,-61.60438919067383
1650125974.9429576,26940000,-27.073471069335938
1650126202.9313033,27000000,-41.048458099365234
1650126422.9175398,27060000,-41.24135208129883
1650126645.213386,27120000,-65.49390411376953
1650126868.03857,27180000,-83.89462280273438
1650127093.0775337,27240000,-26.101810455322266
1650127322.4150915,27300000,-33.41648483276367
1650127545.9400868,27360000,-28.86779022216797
1650127774.233852,27420000,-37.3227424621582
1650127991.5894673,27480000,-38.897300720214844
1650128216.3346143,27540000,-30.306299209594727
1650128430.734153,27600000,-23.148353576660156
1650128650.1519954,27660000,-36.38991928100586
1650128875.4834275,27720000,-52.201595306396484
1650129091.6328537,27780000,-61.84100341796875
1650129312.9590104,27840000,-67.20722961425781
1650129537.2776325,27900000,-33.115928649902344
1650129756.1645558,27960000,-28.7109375
1650129977.6979096,28020000,-28.25946044921875
1650130199.5134847,28080000,-23.128122329711914
1650130417.7288077,28140000,-48.49858856201172
1650130640.0681891,28200000,-19.93988037109375
1650130864.2814822,28260000,-20.478261947631836
1650131090.9786942,28320000,-124.86624145507812
1650131302.6220386,28380000,-76.92280578613281
1650131518.7197666,28440000,-59.572547912597656
1650131745.5661612,28500000,-34.01462173461914
1650131965.9370651,28560000,-23.08038902282715
1650132180.224861,28620000,-22.303138732910156
1650132402.779904,28680000,-25.040571212768555
1650132629.8290873,28740000,-44.107627868652344
1650132850.5520537,28800000,-33.12969970703125
1650133063.8134713,28860000,-26.56711196899414
1650133283.719046,28920000,-27.733566284179688
1650133499.278347,28980000,-37.10542297363281
1650133718.1138988,29040000,-24.54389762878418
1650133932.69515,29100000,-28.816415786743164
1650134163.905087,29160000,-71.02347564697266
1650134388.7443771,29220000,-30.89104461669922
1650134609.7446349,29280000,-46.40029525756836
1650134831.6253977,29340000,-39.36204528808594
1650135063.839655,29400000,-63.898746490478516
1650135288.8376575,29460000,-19.260107040405273
1650135507.9351246,29520000,-40.75571823120117
1650135727.3723211,29580000,-44.89570999145508
1650135951.7309327,29640000,-84.08963012695312
1650136169.8912532,29700000,-52.54637145996094
